Start Time,Stop Time,Start Station Name,End Station Name,Bike ID,User Type,Gender,Birth Year
9/21/15 21:03,9/21/15 21:05,Lincoln Park,Lincoln Park,24682,Subscriber,1,1983
9/21/15 21:03,9/21/15 21:11,Brunswick St,Grove St PATH,24441,Subscriber,1,1983
9/21/15 21:04,9/21/15 21:08,Hamilton Park,Hamilton Park,24442,Subscriber,2,1985
9/21/15 21:09,9/21/15 21:27,Newark Ave,Newark Ave,24621,Subscriber,1,1970
9/21/15 21:10,9/21/15 21:13,City Hall,Van Vorst Park,24434,Subscriber,1,1976
9/21/15 21:14,9/21/15 21:34,Grove St PATH,Grove St PATH,24441,Subscriber,1,1985
9/21/15 21:15,9/21/15 21:18,City Hall,City Hall,24669,Customer,0,
9/21/15 21:20,9/21/15 21:46,NJCU,NJCU,24514,Customer,0,
9/21/15 21:20,9/21/15 21:46,NJCU,NJCU,24412,Customer,0,
9/21/15 21:22,9/21/15 21:37,Newark Ave,Pershing Field,24701,Subscriber,1,1954
9/21/15 21:23,9/21/15 21:40,Liberty Light Rail,Van Vorst Park,24484,Subscriber,1,1971
9/21/15 21:28,9/21/15 21:35,City Hall,Essex Light Rail,24669,Subscriber,1,1992
9/21/15 21:28,9/21/15 21:34,Hilltop,Oakland Ave,24583,Customer,0,
9/21/15 21:30,9/21/15 21:52,Newport Pkwy,Exchange Place,24521,Subscriber,1,1981
9/21/15 21:31,9/21/15 21:52,Newport Pkwy,Exchange Place,24567,Subscriber,2,1987
9/21/15 21:37,9/21/15 21:41,Paulus Hook,Essex Light Rail,24492,Subscriber,2,1986
9/21/15 21:41,9/21/15 21:44,Grove St PATH,Van Vorst Park,24441,Subscriber,1,1985
9/21/15 21:41,9/21/15 21:47,Heights Elevator,Riverview Park,24454,Customer,0,
9/21/15 21:43,9/21/15 21:55,McGinley Square,Exchange Place,24672,Subscriber,1,1981
9/21/15 21:54,9/21/15 22:15,Paulus Hook,Exchange Place,24479,Customer,0,
9/21/15 21:54,9/21/15 22:15,Paulus Hook,Exchange Place,24695,Customer,0,
9/21/15 21:57,9/21/15 22:04,Warren St,Warren St,24601,Subscriber,1,1989
9/21/15 21:59,9/21/15 22:23,Exchange Place,City Hall,24567,Subscriber,2,1987
9/21/15 22:00,9/21/15 22:16,Brunswick St,Brunswick St,24590,Subscriber,1,1971
9/21/15 22:00,9/21/15 22:11,Brunswick St,Grove St PATH,24401,Subscriber,1,1972
9/21/15 22:02,9/21/15 22:41,Warren St,Warren St,24505,Subscriber,1,1985
9/21/15 22:02,9/21/15 22:24,Exchange Place,City Hall,24521,Subscriber,1,1981
9/21/15 22:02,9/21/15 22:05,Newark Ave,Brunswick St,24547,Subscriber,1,1984
9/21/15 22:02,9/21/15 22:05,Newark Ave,Brunswick St,24574,Subscriber,2,1985
9/21/15 22:03,9/21/15 22:07,Exchange Place,City Hall,24672,Subscriber,1,1988
9/21/15 22:08,9/21/15 22:13,Hamilton Park,Newark Ave,24400,Subscriber,2,1976
9/21/15 22:12,9/21/15 22:22,City Hall,Newark Ave,24672,Subscriber,1,1984
9/21/15 22:18,9/21/15 22:29,Essex Light Rail,Grove St PATH,24677,Subscriber,1,1985
9/21/15 22:27,9/21/15 22:41,Hamilton Park,Hamilton Park,24422,Subscriber,1,1981
9/21/15 22:49,9/21/15 22:51,McGinley Square,Sip Ave,24444,Subscriber,1,1984
9/21/15 22:50,9/21/15 23:59,Grove St PATH,Van Vorst Park,24401,Customer,0,
9/21/15 22:53,9/21/15 23:18,Lincoln Park,Lincoln Park,24662,Customer,0,
9/21/15 22:53,9/21/15 23:18,Lincoln Park,Lincoln Park,24395,Customer,0,
9/21/15 22:58,9/21/15 23:01,Sip Ave,McGinley Square,24693,Subscriber,1,1984
9/21/15 23:01,9/21/15 23:02,City Hall,City Hall,24567,Subscriber,2,1987
9/21/15 23:03,9/21/15 23:17,City Hall,Newport Pkwy,24567,Subscriber,1,1981
9/21/15 23:04,9/21/15 23:17,City Hall,Newport Pkwy,24521,Subscriber,2,1987
9/21/15 23:05,9/21/15 23:37,Warren St,Warren St,24599,Subscriber,1,1981
9/21/15 23:24,9/21/15 23:27,Newark Ave,Van Vorst Park,24621,Subscriber,2,1976
9/21/15 23:25,9/21/15 23:28,Warren St,Warren St,24473,Subscriber,1,1982
9/21/15 23:30,9/21/15 23:36,Grove St PATH,Essex Light Rail,24677,Subscriber,2,1984
9/21/15 23:37,9/21/15 23:44,Warren St,Van Vorst Park,24601,Subscriber,1,1985
9/22/15 2:32,9/22/15 2:41,Sip Ave,Pershing Field,24444,Subscriber,1,1960
9/22/15 4:44,9/22/15 5:01,McGinley Square,Sip Ave,18245,Subscriber,1,1987
9/22/15 5:04,9/22/15 5:18,Sip Ave,McGinley Square,24723,Subscriber,1,1987
9/22/15 5:15,9/22/15 5:20,Essex Light Rail,Grove St PATH,24430,Subscriber,1,1991
9/22/15 5:25,9/22/15 5:29,Hamilton Park,Grove St PATH,24422,Subscriber,1,1980
9/22/15 5:41,9/22/15 5:45,Brunswick St,Grove St PATH,24574,Subscriber,1,1980
9/22/15 5:41,9/22/15 5:55,Oakland Ave,City Hall,24687,Subscriber,2,1984
9/22/15 5:56,9/22/15 6:06,Liberty Light Rail,Exchange Place,24655,Subscriber,1,1960
9/22/15 6:07,9/22/15 6:20,West Side Light Rail,Sip Ave,24419,Subscriber,1,1988
9/22/15 6:12,9/22/15 6:16,JC Medical Center,Grove St PATH,24679,Subscriber,1,1965
9/22/15 6:15,9/22/15 6:24,Hamilton Park,Hamilton Park,24440,Subscriber,1,1969
9/22/15 6:20,9/22/15 6:27,Brunswick St,Grove St PATH,24688,Customer,0,
9/22/15 6:29,9/22/15 6:48,Bayside Park,Exchange Place,24544,Subscriber,1,1977
9/22/15 6:31,9/22/15 6:49,Riverview Park,Exchange Place,24431,Subscriber,1,1976
9/22/15 6:37,9/22/15 6:46,Brunswick St,Exchange Place,24547,Subscriber,2,1981
9/22/15 6:48,9/22/15 6:51,Essex Light Rail,Exchange Place,24439,Subscriber,1,1989
9/22/15 6:49,9/22/15 6:54,Hamilton Park,Newport PATH,24442,Subscriber,2,1984
9/22/15 6:50,9/22/15 6:55,Grove St PATH,JC Medical Center,24688,Customer,0,
9/22/15 6:53,9/22/15 7:28,Columbia Park,City Hall,24447,Subscriber,2,1983
9/22/15 6:54,9/22/15 6:58,Essex Light Rail,Grove St PATH,24717,Subscriber,1,1965
